Ward,Division,Dem,Rep,Ind,Other,Total,White,Black,Hispanic,Other,Male,Female,Unknown
1,1,319,49,7,88,463,178,4,2,28,159,162,143
1,2,425,65,5,80,575,238,2,2,11,188,219,168
1,3,459,86,9,87,641,272,3,14,8,206,238,198
1,4,426,118,2,61,607,261,8,13,13,197,237,180
1,5,290,30,1,43,364,102,45,19,30,104,117,145
1,6,359,42,3,66,470,114,71,45,15,164,161,147
1,7,327,22,3,52,404,36,82,72,42,113,139,154
1,8,364,49,4,79,496,174,14,17,47,157,180,162
1,9,363,64,4,60,491,224,5,12,29,143,185,168
1,10,402,43,3,85,533,162,8,9,47,174,168,192
1,11,494,60,10,99,663,267,4,14,21,216,244,203
1,12,319,44,7,96,466,96,56,29,43,154,154,163
1,13,410,49,4,92,555,121,73,30,41,157,197,201
1,14,437,50,7,97,591,125,66,35,36,174,176,242
1,15,533,60,8,116,717,213,62,16,24,226,250,242
1,16,315,31,12,73,431,107,36,8,36,141,156,135
1,17,386,79,3,62,530,227,33,9,16,207,191,134
1,18,454,83,4,73,614,302,2,5,5,185,221,208
1,19,378,70,8,48,504,271,0,14,10,159,170,176
1,20,480,32,6,57,575,262,17,12,15,193,215,169
1,21,420,78,7,54,559,273,5,10,8,175,226,160
2,1,495,112,5,100,712,279,14,9,15,236,255,223
2,2,310,70,5,60,445,95,62,8,25,153,145,150
2,3,316,56,3,71,446,131,42,5,26,151,159,137
2,4,398,65,8,88,559,202,5,15,49,176,189,196
2,5,404,65,8,66,543,192,8,10,20,185,196,163
2,6,462,55,4,73,594,197,6,11,22,184,238,175
2,7,493,74,5,111,683,213,36,11,24,239,230,218
2,8,339,49,3,70,461,121,59,13,16,138,182,143
2,9,459,52,5,65,581,84,137,10,9,180,223,180
2,10,452,66,9,86,613,192,13,11,25,207,210,197
2,11,413,82,6,100,601,167,9,10,38,168,227,208
2,12,478,81,5,96,660,164,30,7,19,222,234,206
2,13,238,29,4,44,315,30,93,5,10,86,116,115
2,14,549,61,6,61,677,107,196,21,31,189,247,246
2,15,662,108,10,125,905,190,142,12,19,259,334,313
2,16,620,79,11,143,853,230,36,3,19,264,297,294
2,17,430,73,12,104,619,165,34,6,17,189,226,206
2,18,396,74,7,76,553,193,8,7,13,173,212,169
2,19,460,63,6,85,614,140,105,9,19,199,232,189
2,20,292,40,2,73,407,36,63,6,15,128,142,140
2,21,447,36,5,75,563,57,181,10,19,224,168,176
2,22,580,72,12,102,766,205,49,10,9,253,261,252
2,23,576,66,8,106,756,225,20,17,22,274,248,237
2,24,465,97,9,93,664,198,13,12,13,211,232,221
2,25,543,67,14,169,793,194,44,7,17,279,275,246
2,26,696,148,9,211,1064,331,10,22,19,346,371,349
2,27,585,171,7,157,920,288,16,13,14,265,315,342
3,1,526,17,4,29,576,3,338,4,5,176,225,179
3,2,634,19,1,35,689,8,409,9,15,217,275,204
3,3,590,13,4,28,635,5,380,4,5,176,243,220
3,4,648,30,2,27,707,11,441,1,14,188,282,241
3,5,492,9,3,26,530,2,313,4,8,133,214,185
3,6,530,15,2,28,575,5,319,6,10,155,224,198
3,7,520,24,1,12,557,6,339,4,6,150,237,171
3,8,509,17,1,22,549,2,325,2,8,154,203,194
3,9,567,15,4,25,611,3,357,5,7,157,257,200
3,10,533,7,4,27,571,3,320,8,7,167,212,194
3,11,551,13,3,24,591,0,332,0,7,160,227,208
3,12,571,17,4,24,616,2,352,4,11,161,266,192
3,13,474,13,2,26,515,3,301,1,6,131,201,185
3,14,639,20,0,29,688,4,401,1,6,214,254,223
3,15,548,10,3,26,587,1,313,2,6,169,232,186
3,16,626,18,5,28,677,4,385,3,9,181,266,232
3,17,582,10,1,25,618,5,371,5,13,174,249,196
3,18,597,17,0,30,644,3,376,1,7,177,278,189
3,19,640,8,2,38,688,3,422,4,3,166,282,244
3,20,459,20,1,20,500,4,306,7,6,119,220,165
3,21,462,13,0,22,497,3,309,1,3,131,191,178
3,22,533,15,1,26,575,2,360,3,5,144,249,189
4,1,584,15,1,30,630,2,394,1,13,162,265,204
4,2,739,19,1,26,785,2,488,7,12,222,350,215
4,3,671,17,7,28,723,4,416,3,8,165,307,255
4,4,484,17,0,28,529,4,310,5,8,136,227,168
4,5,592,12,2,33,639,1,363,4,9,168,259,212
4,6,629,12,2,28,671,6,393,0,4,195,269,207
4,7,756,29,3,30,818,5,494,7,15,216,347,261
4,8,658,29,4,32,723,1,432,8,10,211,311,205
4,9,602,19,2,27,650,3,381,5,8,167,267,219
4,10,578,16,4,31,629,2,369,3,9,161,261,208
4,11,652,15,3,32,702,4,430,6,6,187,277,240
4,12,527,17,4,43,591,4,358,3,7,173,243,179
4,13,726,18,2,33,779,3,445,4,8,226,324,233
4,14,608,21,3,33,665,2,400,4,13,178,282,207
4,15,580,18,8,29,635,1,377,1,8,174,238,224
4,16,615,18,3,29,665,0,387,3,11,182,265,223
4,17,550,13,2,23,588,4,344,1,6,164,228,200
4,18,609,15,5,31,660,3,391,2,5,161,273,230
4,19,451,13,3,18,485,2,291,0,9,139,193,155
4,20,581,13,0,20,614,0,375,4,10,173,248,199
4,21,514,17,4,22,557,5,347,1,10,144,238,176
5,1,826,229,11,214,1280,353,24,18,33,383,442,459
5,2,569,139,10,159,877,274,32,7,13,282,279,319
5,3,462,112,8,87,669,271,5,8,13,213,266,190
5,4,692,122,11,169,994,290,30,13,16,315,354,330
5,5,656,100,17,140,913,267,25,13,38,298,302,316
5,6,689,136,14,189,1028,253,20,14,27,323,337,370
5,7,550,105,10,162,827,207,22,12,24,269,302,262
5,8,694,94,14,164,966,259,24,10,17,342,330,299
5,9,1062,152,14,276,1504,288,295,38,40,644,417,455
5,10,228,90,5,64,387,120,15,5,9,143,113,131
5,11,778,111,5,219,1113,243,97,10,38,434,362,324
5,12,868,245,11,288,1412,246,45,20,166,409,492,520
5,13,579,83,5,109,776,66,235,29,41,335,85,361
5,14,523,68,9,154,754,163,21,12,13,240,245,270
5,15,399,58,6,112,575,136,22,43,12,214,184,178
5,16,610,120,11,189,930,184,79,13,19,314,273,350
5,17,910,138,19,248,1315,256,71,53,27,446,445,429
5,18,712,225,19,171,1127,374,21,13,23,318,402,410
5,19,699,167,11,160,1037,404,13,9,21,306,397,336
5,20,339,38,4,77,458,94,36,40,9,136,180,142
5,21,1094,245,23,366,1728,341,54,67,47,616,538,581
5,22,467,67,9,84,627,191,55,8,16,172,247,209
5,23,663,57,13,155,888,145,161,47,17,294,326,271
5,24,773,151,5,329,1258,151,35,25,195,391,381,499
5,25,779,125,13,228,1145,186,147,30,78,444,307,396
5,26,742,199,18,297,1256,260,27,16,24,374,389,502
5,27,678,194,18,277,1167,282,37,15,16,348,383,439
5,28,510,78,14,182,784,155,77,11,21,274,261,254
5,29,336,39,6,110,491,61,49,19,9,130,154,214
6,1,555,21,3,97,676,35,246,5,26,219,238,223
6,2,316,8,1,8,333,6,189,0,7,63,141,131
6,3,545,39,9,87,680,34,265,3,15,237,248,199
6,4,675,17,2,30,724,5,402,7,15,141,298,289
6,5,303,17,2,15,337,3,187,5,5,118,119,101
6,6,417,7,3,15,442,3,256,4,2,112,180,153
6,7,549,11,4,29,593,2,378,12,3,159,245,190
6,8,334,12,1,20,367,11,210,2,5,101,152,114
6,9,429,15,0,29,473,3,294,3,5,156,181,138
6,10,324,27,2,16,369,2,210,0,5,120,134,115
6,11,696,21,1,33,751,12,444,3,5,228,291,238
6,12,351,6,3,23,383,3,220,0,3,78,183,122
6,13,462,17,0,21,500,6,316,9,7,143,195,163
6,14,475,13,3,36,527,11,299,11,3,190,190,149
6,15,546,16,5,33,600,15,314,9,6,189,224,190
6,16,429,11,1,21,462,4,278,4,4,109,211,145
6,17,585,18,5,31,639,5,381,7,12,171,242,228
6,18,642,15,3,29,689,15,389,8,9,221,265,206
7,1,508,44,0,58,610,11,28,420,13,154,180,280
