Precinct,Political Party,Count of Voters by Party
101,,
,NO AFFILIATION,20
,NON-PARTISAN,1
,DEMOCRATIC,164
,NONE,1
,REPUBLICAN,9
,INDEPENDENT,4
,NO PARTY,1
,GREEN,1
,UNKNOWN,1
,Count of Voters in 0101:,202
102,,
,DEMOCRATIC,207
,INDEPENDENT,1
,REPUBLICAN,20
,OTHER,2
,UNAFFILIATED,1
,LIBERTARIAN,1
,NO AFFILIATION,24
,NO PARTY,1
,Count of Voters in 0102:,257
103,,
,INDEPENDENT,3
,BULL MOOSE,1
,GREEN,2
,NO PARTY,1
,NON-PARTISAN,3
,LIBERTARIAN,2
,REPUBLICAN,34
,DEMOCRATIC,261
,CONSTITUTIONAL,1
,NO AFFILIATION,30
,Count of Voters in 0103:,338
104,,
,NO AFFILIATION,17
,GREEN,1
,DEMOCRATIC,193
,NONE,1
,REPUBLICAN,52
,NON-PARTISAN,1
,NO PARTY,1
,Count of Voters in 0104:,266
105,,
,REPUBLICAN,9
,DEMOCRATIC,103
,LIBERTARIAN,1
,NO AFFILIATION,10
,Count of Voters in 0105:,123
106,,
,LIBERTARIAN,2
,NO AFFILIATION,12
,NO PARTY,1
,NONE,1
,REPUBLICAN,6
,DEMOCRATIC,119
,UNKNOWN,1
,INDEPENDENT,1
,OTHER,1
,NON-PARTISAN,2
,Count of Voters in 0106:,146
107,,
,DEMOCRATIC,99
,REPUBLICAN,7
,GREEN,1
,NO AFFILIATION,9
,Count of Voters in 0107:,116
108,,
,GREEN,2
,LIBERTARIAN,2
,NO AFFILIATION,14
,DEMOCRATIC,137
,REPUBLICAN,15
,Count of Voters in 0108:,170
109,,
,NO AFFILIATION,18
,DEMOCRATIC,173
,REPUBLICAN,23
,NON-PARTISAN,1
,INDEPENDENT,2
,OTHER,1
,Count of Voters in 0109:,218
110,,
,LIBERTARIAN,2
,REPUBLICAN,12
,DEMOCRATIC,158
,CONSERVATIVE,1
,NON-PARTISAN,1
,NO AFFILIATION,18
,Count of Voters in 0110:,192
111,,
,NO AFFILIATION,34
,DEMOCRATIC,259
,INDEPENDENT,5
,NONE,2
,LIBERTARIAN,1
,REPUBLICAN,31
,Count of Voters in 0111:,332
112,,
,DEMOCRATIC,118
,INDEPENDENT,2
,NO AFFILIATION,18
,NO PARTY,1
,LIBERTARIAN,1
,REPUBLICAN,9
,OTHER,1
,Count of Voters in 0112:,150
113,,
,DEMOCRATIC,148
,GREEN,1
,UNKNOWN,1
,NO PARTY,1
,NO AFFILIATION,13
,REPUBLICAN,10
,Count of Voters in 0113:,174
114,,
,INDEPENDENT,2
,REPUBLICAN,9
,NON-PARTISAN,3
,NO AFFILIATION,14
,NO PARTY,1
,GREEN,1
,DEMOCRATIC,156
,Count of Voters in 0114:,186
115,,
,GREEN,4
,NO AFFILIATION,17
,DEMOCRATIC,256
,LIBERTARIAN,1
,INDEPENDENT,4
,REPUBLICAN,24
,Count of Voters in 0115:,306
116,,
,INDEPENDENT,4
,OTHER,1
,REPUBLICAN,12
,LIBERTARIAN,1
,DEMOCRATIC,126
,NO AFFILIATION,27
,Count of Voters in 0116:,171
117,,
,NO AFFILIATION,17
,DEMOCRATIC,196
,NON-PARTISAN,1
,SOCIALIST,1
117,,
,INDEPENDENT,1
,REPUBLICAN,31
,Count of Voters in 0117:,247
118,,
,INDEPENDENT,1
,OTHER,1
,REPUBLICAN,32
,LIBERTARIAN,3
,NO PARTY,1
,NO AFFILIATION,10
,DEMOCRATIC,212
,Count of Voters in 0118:,260
119,,
,CONSTITUTIONAL,1
,INDEPENDENT,5
,REPUBLICAN,23
,NO AFFILIATION,12
,NO PARTY,1
,DEMOCRATIC,218
,LIBERTARIAN,1
,Count of Voters in 0119:,261
120,,
,GREEN,2
,INDEPENDENCE,1
,LIBERTARIAN,1
,NO AFFILIATION,13
,INDEPENDENT,2
,NO PARTY,1
,DEMOCRATIC,251
,REPUBLICAN,12
,Count of Voters in 0120:,283
121,,
,REPUBLICAN,29
,DEMOCRATIC,203
,INDEPENDENT,2
,NO PARTY,1
,GREEN,2
,NON-PARTISAN,2
,NO AFFILIATION,10
,Count of Voters in 0121:,249
201,,
,DEMOCRATIC,254
,NO AFFILIATION,33
,NON-PARTISAN,1
,INDEPENDENT,2
,REPUBLICAN,39
,Count of Voters in 0201:,329
202,,
,INDEPENDENCE,1
,NO AFFILIATION,15
,NO PARTY,1
,DEMOCRATIC,146
,INDEPENDENT,2
,REPUBLICAN,19
,Count of Voters in 0202:,184
203,,
,NO AFFILIATION,13
,DEMOCRATIC,127
,GREEN,1
,NON-PARTISAN,2
,NO PARTY,1
,REPUBLICAN,24
,Count of Voters in 0203:,168
204,,
,INDEPENDENT,3
,REPUBLICAN,22
,NO PARTY,1
,GREEN,3
,DEMOCRATIC,152
,NO AFFILIATION,19
,LIBERTARIAN,1
,Count of Voters in 0204:,201
205,,
,INDEPENDENT,2
,NO AFFILIATION,15
,DEMOCRATIC,182
,GREEN,1
,REPUBLICAN,15
,Count of Voters in 0205:,215
206,,
,DEMOCRATIC,216
,INDEPENDENT,2
,LIBERTARIAN REPUBLICAN,1
,NON-PARTISAN,1
,NO AFFILIATION,19
,NO PARTY,1
,REPUBLICAN,28
,Count of Voters in 0206:,268
207,,
,NO AFFILIATION,29
,DEMOCRATIC,224
,LIBERTARIAN,2
,INDEPENDENT,2
,REPUBLICAN,13
,NO PARTY,2
,NON-PARTISAN,1
,OTHER,1
,Count of Voters in 0207:,274
208,,
,NO AFFILIATION,13
,DEMOCRATIC,162
,GREEN,1
,INDEPENDENT,1
,REPUBLICAN,16
,LIBERTARIAN,2
,Count of Voters in 0208:,195
209,,
,REPUBLICAN,10
,NO AFFILIATION,11
,NON-PARTISAN,1
,DEMOCRATIC,206
,INDEPENDENT,2
,Count of Voters in 0209:,230
210,,
